,Order Date,Brand,Sneaker Name,Sale Price,Retail Price,Release Date,Shoe Size,Buyer Region,Bought for Less Than Retail,Bought for Retail,Bought for More Than Retail
0,2017-09-01, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,1097,220,2016-09-24,11.0,California,False,False,True
1,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Copper,685,220,2016-11-23,11.0,California,False,False,True
2,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Green,690,220,2016-11-23,11.0,California,False,False,True
3,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red,1075,220,2016-11-23,11.5,Kentucky,False,False,True
4,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,828,220,2017-02-11,11.0,Rhode Island,False,False,True
5,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,798,220,2017-02-11,8.5,Michigan,False,False,True
6,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,784,220,2016-12-17,11.0,California,False,False,True
7,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,460,220,2017-04-29,10.0,New York,False,False,True
8,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,465,220,2017-04-29,11.0,Kansas,False,False,True
9,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,465,220,2017-04-29,11.0,Florida,False,False,True
10,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,515,220,2017-04-29,11.5,New Jersey,False,False,True
11,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,473,220,2017-04-29,10.0,Texas,False,False,True
12,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,460,220,2017-04-29,9.0,Florida,False,False,True
13,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,570,220,2017-02-25,14.0,Michigan,False,False,True
14,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,525,220,2017-02-25,8.0,New York,False,False,True
